Gene stable ID	Transcript stable ID	HGNC symbol	HGNC ID
ENSCAFG00000002484	ENSCAFT00000026823		
ENSCAFG00000002485	ENSCAFT00000003921		
ENSCAFG00000002486	ENSCAFT00000003922		
ENSCAFG00000002488	ENSCAFT00000003923		
ENSCAFG00000002491	ENSCAFT00000003927		
ENSCAFG00000002500	ENSCAFT00000003950		
ENSCAFG00000002505	ENSCAFT00000003952		
ENSCAFG00000002509	ENSCAFT00000003962		
ENSCAFG00000002512	ENSCAFT00000003965		
ENSCAFG00000002514	ENSCAFT00000003967	TMEM269	HGNC:52381
ENSCAFG00000002516	ENSCAFT00000003968		
ENSCAFG00000002516	ENSCAFT00000062652		
ENSCAFG00000002526	ENSCAFT00000003998		
ENSCAFG00000002540	ENSCAFT00000004009		
ENSCAFG00000002540	ENSCAFT00000081105		
ENSCAFG00000002541	ENSCAFT00000004010		
ENSCAFG00000002544	ENSCAFT00000004012		
ENSCAFG00000002544	ENSCAFT00000093306		
ENSCAFG00000002549	ENSCAFT00000051401		
ENSCAFG00000002549	ENSCAFT00000057939		
ENSCAFG00000002549	ENSCAFT00000004023		
ENSCAFG00000002549	ENSCAFT00000092885		
ENSCAFG00000002549	ENSCAFT00000004024		
ENSCAFG00000002549	ENSCAFT00000085952		
ENSCAFG00000002553	ENSCAFT00000004026		
ENSCAFG00000002556	ENSCAFT00000004030		
ENSCAFG00000002556	ENSCAFT00000046854		
ENSCAFG00000002557	ENSCAFT00000004034		
ENSCAFG00000002557	ENSCAFT00000036945		
ENSCAFG00000002563	ENSCAFT00000081658		
ENSCAFG00000002563	ENSCAFT00000061265		
ENSCAFG00000002563	ENSCAFT00000083973		
ENSCAFG00000002563	ENSCAFT00000004039		
ENSCAFG00000045035	ENSCAFT00000087990		
ENSCAFG00000002568	ENSCAFT00000004045		
ENSCAFG00000002574	ENSCAFT00000004053		
ENSCAFG00000002574	ENSCAFT00000059797		
ENSCAFG00000044963	ENSCAFT00000070178		
ENSCAFG00000047586	ENSCAFT00000067787		
ENSCAFG00000042192	ENSCAFT00000070840		
ENSCAFG00000002576	ENSCAFT00000004055		
ENSCAFG00000002579	ENSCAFT00000004059		
ENSCAFG00000002579	ENSCAFT00000045204		
ENSCAFG00000048846	ENSCAFT00000076879		
ENSCAFG00000047995	ENSCAFT00000067289		
ENSCAFG00000048094	ENSCAFT00000075447		
ENSCAFG00000038329	ENSCAFT00000072962		
ENSCAFG00000038329	ENSCAFT00000056839		
ENSCAFG00000022442	ENSCAFT00000034549		
ENSCAFG00000002592	ENSCAFT00000069817		
ENSCAFG00000002592	ENSCAFT00000071649		
ENSCAFG00000002592	ENSCAFT00000004088		
ENSCAFG00000002592	ENSCAFT00000073997		
ENSCAFG00000002600	ENSCAFT00000004091		
ENSCAFG00000002732	ENSCAFT00000004392		
ENSCAFG00000046266	ENSCAFT00000064572		
ENSCAFG00000046266	ENSCAFT00000070013		
ENSCAFG00000046266	ENSCAFT00000066778		
ENSCAFG00000002814	ENSCAFT00000004502		
ENSCAFG00000043114	ENSCAFT00000079420		
ENSCAFG00000002827	ENSCAFT00000072279		
ENSCAFG00000002827	ENSCAFT00000004517		
ENSCAFG00000025650	ENSCAFT00000039933		
ENSCAFG00000020447	ENSCAFT00000032554		
ENSCAFG00000002830	ENSCAFT00000004521		
ENSCAFG00000002830	ENSCAFT00000085912		
ENSCAFG00000002830	ENSCAFT00000072958		
ENSCAFG00000043904	ENSCAFT00000028699		
ENSCAFG00000025406	ENSCAFT00000047570		
ENSCAFG00000025406	ENSCAFT00000086498		
ENSCAFG00000042201	ENSCAFT00000068088		
ENSCAFG00000032577	ENSCAFT00000045875		
ENSCAFG00000032577	ENSCAFT00000078228		
ENSCAFG00000032577	ENSCAFT00000086151		
ENSCAFG00000032577	ENSCAFT00000063456		
ENSCAFG00000032577	ENSCAFT00000070223		
ENSCAFG00000032577	ENSCAFT00000083072		
ENSCAFG00000002993	ENSCAFT00000080096		
ENSCAFG00000002993	ENSCAFT00000074460		
ENSCAFG00000002993	ENSCAFT00000081441		
ENSCAFG00000002993	ENSCAFT00000004798		
ENSCAFG00000042632	ENSCAFT00000085691		
ENSCAFG00000002997	ENSCAFT00000004806		
ENSCAFG00000002999	ENSCAFT00000004818		
ENSCAFG00000002999	ENSCAFT00000070472		
ENSCAFG00000045257	ENSCAFT00000082806		
ENSCAFG00000003002	ENSCAFT00000004819		
ENSCAFG00000003003	ENSCAFT00000004821		
ENSCAFG00000045222	ENSCAFT00000073509		
ENSCAFG00000026117	ENSCAFT00000040400		
ENSCAFG00000028313	ENSCAFT00000042596		
ENSCAFG00000003004	ENSCAFT00000091874		
ENSCAFG00000003004	ENSCAFT00000078755		
ENSCAFG00000003004	ENSCAFT00000038806		
ENSCAFG00000003004	ENSCAFT00000077621		
ENSCAFG00000003004	ENSCAFT00000063525		
