enst_id	ensp_id	uniprot_protein_length	Final_mapping_uniprot_id	Gene_Symbol
ENSCAFT00805023083		466	A0A8C0N8E3	VIM
ENSCAFT00805006789		506	A0A8C0NGY6	YAP1
ENSCAFT00805055027		927	A0A8C0TYJ0	DLG1
ENSCAFT00000009283	ENSCAFP00000008615	1264	A0A8I3NFE2	INPPL1
ENSCAFT00000009283	ENSCAFP00000008615	1264	A0A8I3NFE2	SHIP2
ENSCAFT00000027319	ENSCAFP00000025406	106	A0A8I3NQW8	WDR83OS
ENSCAFT00000020422	ENSCAFP00000018949	483	A0A8I3P7X4	CCDC47
ENSCAFT00845036501		834	A0A8I3PDQ1	NEDD9
ENSCAFT00845036501		834	A0A8I3PDQ1	CASL
ENSCAFT00000021367	ENSCAFP00000019839	188	A0A8I3PI99	TMCO1
ENSCAFT00805045533		400	A0A8I3PQN6	WWTR1
ENSCAFT00805045533		400	A0A8I3PQN6	TAZ
ENSCAFT00805036665		776	A0A8I3QA39	AMOTL2
ENSCAFT00030046613		405	A0A8I3S724	AURKA
ENSCAFT00030046613		405	A0A8I3S724	AIK
ENSCAFT00030046613		405	A0A8I3S724	AIRK1
ENSCAFT00030046613		405	A0A8I3S724	ARK1
ENSCAFT00030046613		405	A0A8I3S724	AURA
ENSCAFT00030046613		405	A0A8I3S724	AYK1
ENSCAFT00030046613		405	A0A8I3S724	BTAK
ENSCAFT00030046613		405	A0A8I3S724	IAK1
ENSCAFT00030046613		405	A0A8I3S724	STK15
ENSCAFT00030046613		405	A0A8I3S724	STK6
ENSCAFT00000079481	ENSCAFP00000060909	129	A0A8I3S9V6	RAB5IF
ENSCAFT00000079481	ENSCAFP00000060909	129	A0A8I3S9V6	OPTI
ENSCAFT00805020653		1614	A0A8P0N4K0	SCRIB
ENSCAFT00000044497	ENSCAFP00000040771	153	A0SYQ0	PTGES
ENSCAFT00000044497	ENSCAFP00000040771	153	A0SYQ0	PGES
		781	B6V8E6	CTNNB1
ENSCAFT00030042019		1325	B8K1W2	Abcb11e
ENSCAFT00030042019		1325	B8K1W2	BSEP
ENSCAFT00030013452		519	D2KC46	PLEKHA8
ENSCAFT00030013452		519	D2KC46	FAPP2
ENSCAFT00000075065	ENSCAFP00000053136	527	E2QWQ2	NLK
ENSCAFT00030031469		675	E2QY99	PALS1
ENSCAFT00030031469		675	E2QY99	MPP5
ENSCAFT00000029899	ENSCAFP00000027787	1828	E2QYC9	PATJ
ENSCAFT00000029899	ENSCAFP00000027787	1828	E2QYC9	CIPP
ENSCAFT00000029899	ENSCAFP00000027787	1828	E2QYC9	INADL
ENSCAFT00000020461	ENSCAFP00000018988	100	E2RAK7	APOA2
		254	E2RD63	PLD6
ENSCAFT00000002469	ENSCAFP00000002289	172	E2RDM9	TSPO2
ENSCAFT00000028187	ENSCAFP00000026214	473	E2RDP2	ATG4D
ENSCAFT00000008731	ENSCAFP00000008096	826	E2RG47	STT3B
ENSCAFT00000008686	ENSCAFP00000008052	243	E2RH47	RPS3
		883	E2RJI4	MASTL
		883	E2RJI4	GW
		883	E2RJI4	GWL
ENSCAFT00000023494	ENSCAFP00000021817	981	E2RK09	USP37
ENSCAFT00000003416	ENSCAFP00000003171	4074	E2RK30	PKHD1
ENSCAFT00030025258		607	E2RQ08	RPN1
		567	E2RSS3	WEE2
		567	E2RSS3	WEE1B
ENSCAFT00040039181		156	F1P963	NUDT1
ENSCAFT00040039181		156	F1P963	MTH1
ENSCAFT00030026548		885	F1PAA9	CDH1
ENSCAFT00000013877	ENSCAFP00000012838	1498	F1PBJ0	RAPGEF2
ENSCAFT00000013877	ENSCAFP00000012838	1498	F1PBJ0	NRAPGEP
ENSCAFT00000013877	ENSCAFP00000012838	1498	F1PBJ0	PDZGEF1
		705	F1PJP5	STT3A
		506	F1PLN3	FTO
ENSCAFT00000107115		1006	F1PRN2	MYO1D
ENSCAFT00000027549	ENSCAFP00000025621	203	F1PTE3	RAB13
		919	F1PZQ5	CCDC66
ENSCAFT00030028389		405	O02662	ADRB3
ENSCAFT00030028389		405	O02662	B3AR
		167	O02720	LEP
		167	O02720	OB
ENSCAFT00030024192		360	O02812	MAPK14
ENSCAFT00030024192		360	O02812	CSBP1
ENSCAFT00030024192		360	O02812	CSBP2
		704	O18733	MMP9
		1259	O18735	ERBB2
ENSCAFT00000095294		375	O18840	ACTB
		1109	O19179	GUCY2D
		1109	O19179	GUC2D
ENSCAFT00000048990	ENSCAFP00000038932	162	O46550	CAV2
ENSCAFT00000048990	ENSCAFP00000038932	162	O46550	CAV-2
ENSCAFT00000081998		470	O46635	HTR2A
ENSCAFT00000081998		470	O46635	5-HTR2A
		1962	O46669	SCN10A
ENSCAFT00000027396	ENSCAFP00000025477	997	O46674	ATP2A2
		898	O62683	TJP3
		898	O62683	ZO3
		1154	O62699	NOS2
ENSCAFT00000019808	ENSCAFP00000018375	865	O77746	PDE5A
ENSCAFT00000019808	ENSCAFP00000018375	865	O77746	PDE5
ENSCAFT00030042809		527	O97492	CAT
ENSCAFT00000030091	ENSCAFP00000027967	260	O97626	CD40LG
ENSCAFT00000030091	ENSCAFP00000027967	260	O97626	CD40L
ENSCAFT00000030091	ENSCAFP00000027967	260	O97626	TNFSF5
		1769	O97758	TJP1
		1769	O97758	ZO1
ENSCAFT00000003274	ENSCAFP00000003042	979	O97799	KIT
ENSCAFT00000097490		105	P00011	CYCS
ENSCAFT00000097490		105	P00011	CYC
ENSCAFT00000016041	ENSCAFP00000014836	110	P01321	INS
		266	P02648	APOA1
		565	P04850	HN
		303	P06583	ATP1B1
ENSCAFT00000016284	ENSCAFP00000015064	146	P06596	PLA2G1B
ENSCAFT00000018834	ENSCAFP00000017453	467	P06857	PNLIPRP1
ENSCAFT00000018834	ENSCAFP00000017453	467	P06857	PLRP1
ENSCAFT00000026190	ENSCAFP00000024318	149	P07499	NPPA
ENSCAFT00000000157	ENSCAFP00000000137	146	P08989	GRP
		2127	P0C568	L
ENSCAFT00805015096		1631	P0DV84	ALK
		222	P11207	P/V
ENSCAFT00000019378	ENSCAFP00000017975	362	P11613	ACKR3
ENSCAFT00000019378	ENSCAFP00000017975	362	P11613	CMKOR1
ENSCAFT00000019378	ENSCAFP00000017975	362	P11613	CXCR7
ENSCAFT00000019378	ENSCAFP00000017975	362	P11613	RDC1
ENSCAFT00000021939	ENSCAFP00000020374	412	P11617	ADORA2A
ENSCAFT00000021939	ENSCAFP00000020374	412	P11617	RDC8
ENSCAFT00000007426	ENSCAFP00000006882	101	P12278	APOC2
		410	P12637	CASQ2
		668	P12929	NS1
ENSCAFT00000015551	ENSCAFP00000014389	202	P13206	EDN1
		192	P13679	SEC11C
		192	P13679	SEC11L3
		192	P13679	SPC21
ENSCAFT00000070476	ENSCAFP00000044054	359	P17124	HRH2
ENSCAFT00000009363	ENSCAFP00000008690	215	P18066	RAB5A
ENSCAFT00000060815	ENSCAFP00000043782	207	P18067	RAB7A
ENSCAFT00000060815	ENSCAFP00000043782	207	P18067	RAB7
ENSCAFT00000092662	ENSCAFP00000057461	323	P18649	APOE
		15	P18651	FGF1
		452	P19540	F9
ENSCAFT00000010451	ENSCAFP00000009692	970	P23685	SLC8A1
ENSCAFT00000010451	ENSCAFP00000009692	970	P23685	NCX1
		604	P24306	H
		193	P24406	RHOA
		193	P24406	ARHA
		193	P24406	RHO1
ENSCAFT00000018660	ENSCAFP00000017285	201	P24408	RAB9A
ENSCAFT00000018660	ENSCAFP00000017285	201	P24408	RAB9
		200	P24409	RAB10
ENSCAFT00845042055		503	P24463	CYP3A12
		593	P24643	CANX
		509	P25291	GP2
ENSCAFT00040032862		445	P25473	CLU
ENSCAFT00000024973	ENSCAFP00000023174	614	P27799	SLC6A12
		180	P29794	GCG
		1265	P30803	ADCY5
		1165	P30804	ADCY6
ENSCAFT00000098508		718	P31637	SLC5A3
ENSCAFT00000098508		718	P31637	SMIT
		348	P32308	RHO
ENSCAFT00000017923	ENSCAFP00000016597	345	P33703	APOH
ENSCAFT00000077975	ENSCAFP00000063394	463	P33705	CD4
ENSCAFT00000086858	ENSCAFP00000046181	153	P33712	IGF1
ENSCAFT00000086858	ENSCAFP00000046181	153	P33712	IGF-1
ENSCAFT00000086858	ENSCAFP00000046181	153	P33712	IGFIA
ENSCAFT00000098661		178	P33724	CAV1
ENSCAFT00000098661		178	P33724	CAV
ENSCAFT00000017606	ENSCAFP00000016302	358	P33725	GJA5
ENSCAFT00000026577	ENSCAFP00000024683	856	P33726	PDE6B
ENSCAFT00000026577	ENSCAFP00000024683	856	P33726	PDBS
ENSCAFT00000026577	ENSCAFP00000024683	856	P33726	PDEB
ENSCAFT00000003524	ENSCAFP00000003266	671	P33731	SRP72
		235	P35521	CLNS1A
		235	P35521	ICLN
		476	P38377	SEC61A1
ENSCAFT00000037927	ENSCAFP00000033576	355	P38400	GNAI2
ENSCAFT00030005060		296	P38486	LGALS3
ENSCAFT00040044402		373	P40321	IL2RG
ENSCAFT00030016065		804	P41148	HSP90B1
ENSCAFT00030016065		804	P41148	GRP94
ENSCAFT00030016065		804	P41148	HSPC4
ENSCAFT00030016065		804	P41148	TRA1
ENSCAFT00000000643	ENSCAFP00000000588	166	P42161	IFNG
ENSCAFT00000011697	ENSCAFP00000010840	459	P47240	PAX8
ENSCAFT00000011697	ENSCAFP00000010840	459	P47240	PAX-8
		715	P47983	ZP2
		715	P47983	ZPA
		426	P48831	ZP3
		426	P48831	ZPC
ENSCAFT00000047011	ENSCAFP00000040025	356	P49256	LMAN2
		509	P49819	DLD
		608	P49822	ALB
		384	P50551	VASP
		1021	P50997	ATP1A1
		194	P51154	RAB22A
		194	P51154	RAB22
ENSCAFT00845047929		598	P51666	NR4A1
ENSCAFT00845047929		598	P51666	HMR
ENSCAFT00000000804	ENSCAFP00000000739	233	P51742	TNF
ENSCAFT00000000804	ENSCAFP00000000739	233	P51742	TNFA
ENSCAFT00000000804	ENSCAFP00000000739	233	P51742	TNFSF2
		782	P52784	PFKM
		782	P52784	M-PFK
		390	P54831	TGFB1
		415	P54833	ADRB2
		92	P56513	FXYD1
		92	P56513	PLM
		524	P56590	CYP1A1
		512	P56592	CYP1A2
ENSCAFT00000073642	ENSCAFP00000062749	487	P56950	MDM2
		527	P58027	MAOA
ENSCAFT00000104631		68	P60058	SEC61G
ENSCAFT00000003996	ENSCAFP00000003690	96	P60467	SEC61B
ENSCAFT00030039048		403	P60483	PTEN
ENSCAFT00030039048		403	P60483	MMAC1
ENSCAFT00000023350	ENSCAFP00000021683	191	P60952	CDC42
ENSCAFT00000025007	ENSCAFP00000023207	207	P61007	RAB8A
ENSCAFT00000025007	ENSCAFP00000023207	207	P61007	MEL
ENSCAFT00000025007	ENSCAFP00000023207	207	P61007	RAB8
ENSCAFT00000039350	ENSCAFP00000035192	180	P61008	SPCS3
ENSCAFT00000039350	ENSCAFP00000035192	180	P61008	SPC22
ENSCAFT00000021158	ENSCAFP00000019649	504	P61010	SRP54
ENSCAFT00000087967	ENSCAFP00000055407	52	P61012	PLN
ENSCAFT00000011465	ENSCAFP00000010623	212	P61105	RAB2A
ENSCAFT00000011465	ENSCAFP00000010623	212	P61105	RAB2
		342	P61797	APTX
ENSCAFT00000107529		216	P62490	RAB11A
ENSCAFT00000107529		216	P62490	RAB11
