enst_id	ensp_id	ensembl_protein_length	ccds_id	biomart_uniprot_id	uniprot_id_with_isoform	is_matched	final_uniprot_id
ENSCAFT00000000001	ENSCAFP00000000001	916.0				True	
ENSCAFT00000000001	ENSCAFP00000000001	916.0	CCDS5150			True	
ENSCAFT00000000003	ENSCAFP00000041865	286.0				True	
ENSCAFT00000000003	ENSCAFP00000041865	286.0	CCDS34139			True	
ENSCAFT00000000005	ENSCAFP00000000005	662.0	CCDS5148			True	
ENSCAFT00000000005	ENSCAFP00000000005	662.0				True	
ENSCAFT00000000006	ENSCAFP00000000006	375.0	CCDS12022			True	
ENSCAFT00000000006	ENSCAFP00000000006	375.0				True	
ENSCAFT00000000008	ENSCAFP00000000007	1134.0	CCDS32853			True	
ENSCAFT00000000008	ENSCAFP00000000007	1134.0				True	
ENSCAFT00000000009	ENSCAFP00000000008	142.0				True	
ENSCAFT00000000009	ENSCAFP00000000008	142.0	CCDS32852			True	
ENSCAFT00000000009	ENSCAFP00000000008	142.0	CCDS82260			True	
ENSCAFT00000000011	ENSCAFP00000000010	132.0				True	
ENSCAFT00000000012	ENSCAFP00000000011	945.0				True	
ENSCAFT00000000012	ENSCAFP00000000011	945.0	CCDS12017			True	
ENSCAFT00000000012	ENSCAFP00000000011	945.0	CCDS12018			True	
ENSCAFT00000000013	ENSCAFP00000000012	941.0	CCDS62469			True	
ENSCAFT00000000013	ENSCAFP00000000012	941.0	CCDS62471			True	
ENSCAFT00000000013	ENSCAFP00000000012	941.0	CCDS62468			True	
ENSCAFT00000000013	ENSCAFP00000000012	941.0				True	
ENSCAFT00000000013	ENSCAFP00000000012	941.0	CCDS59326			True	
ENSCAFT00000000013	ENSCAFP00000000012	941.0	CCDS62467			True	
ENSCAFT00000000013	ENSCAFP00000000012	941.0	CCDS12016			True	
ENSCAFT00000000013	ENSCAFP00000000012	941.0	CCDS59327			True	
ENSCAFT00000000013	ENSCAFP00000000012	941.0	CCDS62470			True	
ENSCAFT00000000013	ENSCAFP00000000012	941.0	CCDS32850			True	
ENSCAFT00000000013	ENSCAFP00000000012	941.0	CCDS12015			True	
ENSCAFT00000000014	ENSCAFP00000000013	1098.0				True	
ENSCAFT00000000014	ENSCAFP00000000013	1098.0	CCDS12014			True	
ENSCAFT00000000014	ENSCAFP00000000013	1098.0	CCDS77202			True	
ENSCAFT00000000017	ENSCAFP00000000016	1267.0	CCDS12013			True	
ENSCAFT00000000017	ENSCAFP00000000016	1267.0				True	
ENSCAFT00000000021	ENSCAFP00000038795	121.0				True	
ENSCAFT00000000022	ENSCAFP00000000020	351.0	CCDS12012			True	
ENSCAFT00000000022	ENSCAFP00000000020	351.0				True	
ENSCAFT00000000024	ENSCAFP00000000022	350.0	CCDS42449			True	
ENSCAFT00000000024	ENSCAFP00000000022	350.0	CCDS32847			True	
ENSCAFT00000000024	ENSCAFP00000000022	350.0				True	
ENSCAFT00000000024	ENSCAFP00000000022	350.0	CCDS42448			True	
ENSCAFT00000000024	ENSCAFP00000000022	350.0	CCDS42450			True	
ENSCAFT00000000024	ENSCAFP00000000022	350.0	CCDS12011			True	
ENSCAFT00000000025	ENSCAFP00000000023	315.0	CCDS42450			True	
ENSCAFT00000000025	ENSCAFP00000000023	315.0	CCDS42449			True	
ENSCAFT00000000025	ENSCAFP00000000023	315.0	CCDS12011			True	
ENSCAFT00000000025	ENSCAFP00000000023	315.0				True	
ENSCAFT00000000025	ENSCAFP00000000023	315.0	CCDS42448			True	
ENSCAFT00000000025	ENSCAFP00000000023	315.0	CCDS32847			True	
ENSCAFT00000000028	ENSCAFP00000000026	1846.0	CCDS77201			True	
ENSCAFT00000000028	ENSCAFP00000000026	1846.0				True	
ENSCAFT00000000028	ENSCAFP00000000026	1846.0	CCDS42447			True	
ENSCAFT00000000033	ENSCAFP00000000030	1077.0	CCDS74234			True	
ENSCAFT00000000033	ENSCAFP00000000030	1077.0				True	
ENSCAFT00000000035	ENSCAFP00000000032	377.0	CCDS77198			True	
ENSCAFT00000000035	ENSCAFP00000000032	377.0				True	
ENSCAFT00000000035	ENSCAFP00000000032	377.0	CCDS12008			True	
ENSCAFT00000000037			CCDS45885			True	
ENSCAFT00000000037						True	
ENSCAFT00000000037			CCDS54191			True	
ENSCAFT00000000037			CCDS58634			True	
ENSCAFT00000000039	ENSCAFP00000000036	506.0	CCDS12007			True	
ENSCAFT00000000039	ENSCAFP00000000036	506.0				True	
ENSCAFT00000000040	ENSCAFP00000000037	473.0				True	
