Transcript stable ID	RefSeq mRNA ID
ENSCAFT00000026823	
ENSCAFT00000003921	
ENSCAFT00000003922	
ENSCAFT00000003923	
ENSCAFT00000003927	
ENSCAFT00000003950	NM_001159326
ENSCAFT00000003952	
ENSCAFT00000003962	
ENSCAFT00000003965	
ENSCAFT00000003967	
ENSCAFT00000062652	
ENSCAFT00000003968	
ENSCAFT00000003998	
ENSCAFT00000081105	
ENSCAFT00000004009	
ENSCAFT00000004010	
ENSCAFT00000093306	
ENSCAFT00000004012	
ENSCAFT00000085952	
ENSCAFT00000004024	
ENSCAFT00000092885	
ENSCAFT00000004023	
ENSCAFT00000057939	
ENSCAFT00000051401	
ENSCAFT00000004026	
ENSCAFT00000046854	
ENSCAFT00000004030	
ENSCAFT00000036945	
ENSCAFT00000004034	
ENSCAFT00000004039	
ENSCAFT00000083973	
ENSCAFT00000061265	
ENSCAFT00000081658	
ENSCAFT00000087990	
ENSCAFT00000004045	NM_001198788
ENSCAFT00000059797	
ENSCAFT00000004053	
ENSCAFT00000070178	
ENSCAFT00000067787	
ENSCAFT00000070840	
ENSCAFT00000004055	
ENSCAFT00000045204	NM_001003002
ENSCAFT00000004059	
ENSCAFT00000076879	
ENSCAFT00000067289	
ENSCAFT00000075447	
ENSCAFT00000056839	
ENSCAFT00000072962	
ENSCAFT00000034549	
ENSCAFT00000073997	
ENSCAFT00000004088	
ENSCAFT00000071649	
ENSCAFT00000069817	
ENSCAFT00000004091	
ENSCAFT00000004392	
ENSCAFT00000066778	
ENSCAFT00000070013	
ENSCAFT00000064572	
ENSCAFT00000004502	
ENSCAFT00000079420	
ENSCAFT00000004517	
ENSCAFT00000072279	
ENSCAFT00000039933	
ENSCAFT00000032554	
ENSCAFT00000072958	
ENSCAFT00000085912	
ENSCAFT00000004521	
ENSCAFT00000028699	
ENSCAFT00000086498	
ENSCAFT00000047570	
ENSCAFT00000068088	
ENSCAFT00000083072	
ENSCAFT00000070223	
ENSCAFT00000063456	
ENSCAFT00000086151	
ENSCAFT00000078228	
ENSCAFT00000045875	
ENSCAFT00000004798	
ENSCAFT00000081441	
ENSCAFT00000074460	
ENSCAFT00000080096	
ENSCAFT00000085691	
ENSCAFT00000004806	NM_001197170
ENSCAFT00000070472	
ENSCAFT00000004818	
ENSCAFT00000082806	
ENSCAFT00000004819	
ENSCAFT00000004821	
ENSCAFT00000073509	
ENSCAFT00000040400	
ENSCAFT00000042596	
ENSCAFT00000082494	
ENSCAFT00000063525	
ENSCAFT00000077621	
ENSCAFT00000038806	NM_001010944
ENSCAFT00000078755	
ENSCAFT00000091874	
ENSCAFT00000004837	
ENSCAFT00000004850	
ENSCAFT00000004852	
ENSCAFT00000078224	
ENSCAFT00000004860	
ENSCAFT00000047580	
ENSCAFT00000073395	
ENSCAFT00000004911	
ENSCAFT00000004913	
ENSCAFT00000090348	
ENSCAFT00000046678	
ENSCAFT00000004892	
ENSCAFT00000062697	
ENSCAFT00000086333	
ENSCAFT00000072504	
ENSCAFT00000075632	
ENSCAFT00000046898	
ENSCAFT00000004931	
ENSCAFT00000073817	
ENSCAFT00000004949	
ENSCAFT00000004941	
ENSCAFT00000078365	
ENSCAFT00000070046	
ENSCAFT00000068280	
ENSCAFT00000004950	
ENSCAFT00000033680	
ENSCAFT00000073547	
ENSCAFT00000004951	
ENSCAFT00000050149	
ENSCAFT00000005050	
ENSCAFT00000088196	
ENSCAFT00000076131	
ENSCAFT00000081549	
ENSCAFT00000060960	
ENSCAFT00000067044	
ENSCAFT00000032918	
ENSCAFT00000078036	
ENSCAFT00000005127	
ENSCAFT00000005131	
ENSCAFT00000087313	
ENSCAFT00000038555	
ENSCAFT00000070264	
ENSCAFT00000048941	NM_001252277
ENSCAFT00000005139	
ENSCAFT00000089219	
ENSCAFT00000077209	
